Constituency,constituency,max_votes,winner_party,State
Bhongir - 14,Bhongir - 14,629143,Indian National Congress,Telangana
Bhubaneswar - 18,Bhubaneswar - 18,512519,Bharatiya Janata Party,Odisha
Bidar - 7,Bidar - 7,666317,Indian National Congress,Karnataka
Bijapur - 4,Bijapur - 4,672781,Bharatiya Janata Party,Karnataka
Bijnor - 4,Bijnor - 4,404493,Rashtriya Lok Dal,Uttar Pradesh
Birbhum - 42,Birbhum - 42,717961,All India Trinamool Congress,West Bengal
Bishnupur - 37,Bishnupur - 37,680130,Bharatiya Janata Party,West Bengal
Bolangir - 10,Bolangir - 10,617744,Bharatiya Janata Party,Odisha
Bolpur - 41,Bolpur - 41,855633,All India Trinamool Congress,West Bengal
Bulandshahr - 14,Bulandshahr - 14,597310,Bharatiya Janata Party,Uttar Pradesh
Buldhana - 5,Buldhana - 5,349867,Shiv Sena,Maharashtra
Buxar - 33,Buxar - 33,438345,Rashtriya Janata Dal,Bihar
CHENNAI CENTRAL - 4,CHENNAI CENTRAL - 4,413848,Dravida Munnetra Kazhagam,Tamil Nadu
CHENNAI NORTH - 2,CHENNAI NORTH - 2,497333,Dravida Munnetra Kazhagam,Tamil Nadu
CHENNAI SOUTH - 3,CHENNAI SOUTH - 3,516628,Dravida Munnetra Kazhagam,Tamil Nadu
CHHINDWARA - 16,CHHINDWARA - 16,644738,Bharatiya Janata Party,Madhya Pradesh
CHIDAMBARAM - 27,CHIDAMBARAM - 27,505084,Viduthalai Chiruthaigal Katchi,Tamil Nadu
CHITTORGARH - 21,CHITTORGARH - 21,888202,Bharatiya Janata Party,Rajasthan
CHURU - 3,CHURU - 3,728211,Indian National Congress,Rajasthan
COIMBATORE - 20,COIMBATORE - 20,568200,Dravida Munnetra Kazhagam,Tamil Nadu
CUDDALORE - 26,CUDDALORE - 26,455053,Indian National Congress,Tamil Nadu
Chalakudy - 11,Chalakudy - 11,394171,Indian National Congress,Kerala
Chamarajanagar - 22,Chamarajanagar - 22,751671,Indian National Congress,Karnataka
Chandauli - 76,Chandauli - 76,474476,Samajwadi Party,Uttar Pradesh
Chandigarh - 1,Chandigarh - 1,216657,Indian National Congress,Chandigarh
Chandni Chowk - 1,Chandni Chowk - 1,516496,Bharatiya Janata Party,NCT OF Delhi
Chandrapur - 13,Chandrapur - 13,718410,Indian National Congress,Maharashtra
Chatra - 4,Chatra - 4,574556,Bharatiya Janata Party,Jharkhand
Chevella - 10,Chevella - 10,809882,Bharatiya Janata Party,Telangana
Chhota Udaipur - 21,Chhota Udaipur - 21,796589,Bharatiya Janata Party,Gujarat
Chikkballapur - 27,Chikkballapur - 27,822619,Bharatiya Janata Party,Karnataka
Chikkodi - 1,Chikkodi - 1,713461,Indian National Congress,Karnataka
Chitradurga - 18,Chitradurga - 18,684890,Bharatiya Janata Party,Karnataka
Chittoor(SC) - 25,Chittoor(SC) - 25,778071,Telugu Desam,Andhra Pradesh
Coochbehar - 1,Coochbehar - 1,788375,All India Trinamool Congress,West Bengal
Cuttack - 14,Cuttack - 14,531601,Bharatiya Janata Party,Odisha
DAMOH - 7,DAMOH - 7,709768,Bharatiya Janata Party,Madhya Pradesh
DAUSA - 11,DAUSA - 11,646266,Indian National Congress,Rajasthan
DEWAS - 21,DEWAS - 21,928941,Bharatiya Janata Party,Madhya Pradesh
DHAR - 25,DHAR - 25,794449,Bharatiya Janata Party,Madhya Pradesh
DHARMAPURI - 10,DHARMAPURI - 10,432667,Dravida Munnetra Kazhagam,Tamil Nadu
DINDIGUL - 22,DINDIGUL - 22,670149,Communist Party of India (Marxist),Tamil Nadu
DURG - 7,DURG - 7,956497,Bharatiya Janata Party,Chhattisgarh
Dadar & Nagar Haveli - 2,Dadar & Nagar Haveli - 2,121074,Bharatiya Janata Party,Dadra & Nagar Haveli and Daman & Diu
Dahod - 19,Dahod - 19,688715,Bharatiya Janata Party,Gujarat
Dakshina Kannada - 17,Dakshina Kannada - 17,764132,Bharatiya Janata Party,Karnataka
Daman & Diu - 1,Daman & Diu - 1,42523,Independent,Dadra & Nagar Haveli and Daman & Diu
Darbhanga - 14,Darbhanga - 14,566630,Bharatiya Janata Party,Bihar
Darjeeling - 4,Darjeeling - 4,679331,Bharatiya Janata Party,West Bengal
Darrang-Udalguri - 4,Darrang-Udalguri - 4,868387,Bharatiya Janata Party,Assam
Davanagere - 13,Davanagere - 13,633059,Indian National Congress,Karnataka
Deoria - 66,Deoria - 66,504541,Bharatiya Janata Party,Uttar Pradesh
Dhanbad - 7,Dhanbad - 7,789172,Bharatiya Janata Party,Jharkhand
Dharwad - 11,Dharwad - 11,716231,Bharatiya Janata Party,Karnataka
Dhaurahra - 29,Dhaurahra - 29,443743,Samajwadi Party,Uttar Pradesh
Dhenkanal - 9,Dhenkanal - 9,598721,Bharatiya Janata Party,Odisha
Dhubri - 2,Dhubri - 2,1471885,Indian National Congress,Assam
Dhule - 2,Dhule - 2,583866,Indian National Congress,Maharashtra
Diamond harbour - 21,Diamond harbour - 21,1048230,All India Trinamool Congress,West Bengal
Dibrugarh - 13,Dibrugarh - 13,693762,Bharatiya Janata Party,Assam
Dindori - 20,Dindori - 20,577339,Nationalist Congress Party  Sharadchandra Pawar,Maharashtra
Diphu - 6,Diphu - 6,334620,Bharatiya Janata Party,Assam
Domariyaganj - 60,Domariyaganj - 60,463303,Bharatiya Janata Party,Uttar Pradesh
Dum dum - 16,Dum dum - 16,528579,All India Trinamool Congress,West Bengal
Dumka - 2,Dumka - 2,547370,Jharkhand Mukti Morcha,Jharkhand
ERODE - 17,ERODE - 17,562339,Dravida Munnetra Kazhagam,Tamil Nadu
East Delhi - 3,East Delhi - 3,664819,Bharatiya Janata Party,NCT OF Delhi
Eluru - 10,Eluru - 10,746351,Telugu Desam,Andhra Pradesh
Ernakulam - 12,Ernakulam - 12,482317,Indian National Congress,Kerala
Etah - 22,Etah - 22,475808,Samajwadi Party,Uttar Pradesh
Etawah - 41,Etawah - 41,490747,Samajwadi Party,Uttar Pradesh
FARIDABAD - 10,FARIDABAD - 10,788569,Bharatiya Janata Party,Haryana
Faizabad - 54,Faizabad - 54,554289,Samajwadi Party,Uttar Pradesh
Faridkot - 9,Faridkot - 9,298062,Independent,Punjab
Farrukhabad - 40,Farrukhabad - 40,487963,Bharatiya Janata Party,Uttar Pradesh
Fatehgarh Sahib - 8,Fatehgarh Sahib - 8,332591,Indian National Congress,Punjab
Fatehpur - 49,Fatehpur - 49,500328,Samajwadi Party,Uttar Pradesh
Fatehpur Sikri - 19,Fatehpur Sikri - 19,445657,Bharatiya Janata Party,Uttar Pradesh
Firozabad - 20,Firozabad - 20,543037,Samajwadi Party,Uttar Pradesh
Firozpur - 10,Firozpur - 10,266626,Indian National Congress,Punjab
GANGANAGAR - 1,GANGANAGAR - 1,726492,Indian National Congress,Rajasthan
GUNA - 4,GUNA - 4,923302,Bharatiya Janata Party,Madhya Pradesh
GURGAON - 9,GURGAON - 9,808336,Bharatiya Janata Party,Haryana
GWALIOR - 3,GWALIOR - 3,671535,Bharatiya Janata Party,Madhya Pradesh
Gadchiroli - Chimur - 12,Gadchiroli - Chimur - 12,617792,Indian National Congress,Maharashtra
Gandhinagar - 6,Gandhinagar - 6,1010972,Bharatiya Janata Party,Gujarat
Garhwal - 2,Garhwal - 2,432159,Bharatiya Janata Party,Uttarakhand
Gautam Buddha Nagar - 13,Gautam Buddha Nagar - 13,857829,Bharatiya Janata Party,Uttar Pradesh
Gaya - 38,Gaya - 38,494960,Hindustani Awam Morcha (Secular),Bihar
Ghatal - 32,Ghatal - 32,837990,All India Trinamool Congress,West Bengal
Ghaziabad - 12,Ghaziabad - 12,854170,Bharatiya Janata Party,Uttar Pradesh
Ghazipur - 75,Ghazipur - 75,539912,Samajwadi Party,Uttar Pradesh
Ghosi - 70,Ghosi - 70,503131,Samajwadi Party,Uttar Pradesh
Giridih - 6,Giridih - 6,451139,AJSU Party,Jharkhand
Godda - 3,Godda - 3,693140,Bharatiya Janata Party,Jharkhand
Gonda - 59,Gonda - 59,474258,Bharatiya Janata Party,Uttar Pradesh
Gopalganj - 17,Gopalganj - 17,511866,Janata Dal (United),Bihar
Gorakhpur - 64,Gorakhpur - 64,585834,Bharatiya Janata Party,Uttar Pradesh
Gulbarga - 5,Gulbarga - 5,652321,Indian National Congress,Karnataka
Guntur - 13,Guntur - 13,864948,Telugu Desam,Andhra Pradesh
Gurdaspur - 1,Gurdaspur - 1,364043,Indian National Congress,Punjab
Guwahati - 5,Guwahati - 5,894887,Bharatiya Janata Party,Assam
HAMIRPUR - 3,HAMIRPUR - 3,607068,Bharatiya Janata Party,Himachal Pradesh
HISAR - 4,HISAR - 4,570424,Indian National Congress,Haryana
HOSHANGABAD - 17,HOSHANGABAD - 17,812147,Bharatiya Janata Party,Madhya Pradesh
Hajipur - 21,Hajipur - 21,615718,Lok Janshakti Party(Ram Vilas),Bihar
Hamirpur - 47,Hamirpur - 47,490683,Samajwadi Party,Uttar Pradesh
Hardoi - 31,Hardoi - 31,486798,Bharatiya Janata Party,Uttar Pradesh
Haridwar - 5,Haridwar - 5,653808,Bharatiya Janata Party,Uttarakhand
Hassan - 16,Hassan - 16,672988,Indian National Congress,Karnataka
Hathras - 16,Hathras - 16,554746,Bharatiya Janata Party,Uttar Pradesh
Hatkanangale - 48,Hatkanangale - 48,520190,Shiv Sena,Maharashtra
Haveri - 10,Haveri - 10,705538,Bharatiya Janata Party,Karnataka
Hazaribagh - 14,Hazaribagh - 14,654613,Bharatiya Janata Party,Jharkhand
Hindupur - 20,Hindupur - 20,725534,Telugu Desam,Andhra Pradesh
Hingoli - 15,Hingoli - 15,492535,Shiv Sena (Uddhav Balasaheb Thackrey),Maharashtra
Hooghly - 28,Hooghly - 28,702744,All India Trinamool Congress,West Bengal
Hoshiarpur - 5,Hoshiarpur - 5,303859,Aam Aadmi Party,Punjab
Howrah - 25,Howrah - 25,626493,All India Trinamool Congress,West Bengal
Hyderabad - 9,Hyderabad - 9,661981,All India Majlis-E-Ittehadul Muslimeen,Telangana
INDORE - 26,INDORE - 26,1226751,Bharatiya Janata Party,Madhya Pradesh
Idukki - 13,Idukki - 13,432372,Indian National Congress,Kerala
Inner Manipur - 1,Inner Manipur - 1,374017,Indian National Congress,Manipur
JABALPUR - 13,JABALPUR - 13,790133,Bharatiya Janata Party,Madhya Pradesh
JAIPUR - 7,JAIPUR - 7,886850,Bharatiya Janata Party,Rajasthan
JAIPUR RURAL - 6,JAIPUR RURAL - 6,617877,Bharatiya Janata Party,Rajasthan
JALORE - 18,JALORE - 18,796783,Bharatiya Janata Party,Rajasthan
JAMMU - 5,JAMMU - 5,687588,Bharatiya Janata Party,Jammu and Kashmir
JANJGIR-CHAMPA - 3,JANJGIR-CHAMPA - 3,678199,Bharatiya Janata Party,Chhattisgarh
JHALAWAR-BARAN - 25,JHALAWAR-BARAN - 25,865376,Bharatiya Janata Party,Rajasthan
JHUNJHUNU - 4,JHUNJHUNU - 4,553168,Indian National Congress,Rajasthan
JODHPUR - 16,JODHPUR - 16,730056,Bharatiya Janata Party,Rajasthan
Jadavpur - 22,Jadavpur - 22,717899,All India Trinamool Congress,West Bengal
Jagatsinghpur - 16,Jagatsinghpur - 16,589093,Bharatiya Janata Party,Odisha
Jahanabad - 36,Jahanabad - 36,443035,Rashtriya Janata Dal,Bihar
Jajpur - 8,Jajpur - 8,532652,Biju Janata Dal,Odisha
Jalandhar - 4,Jalandhar - 4,390053,Indian National Congress,Punjab
Jalaun - 45,Jalaun - 45,530180,Samajwadi Party,Uttar Pradesh
Jalgaon - 3,Jalgaon - 3,674428,Bharatiya Janata Party,Maharashtra
Jalna - 18,Jalna - 18,607897,Indian National Congress,Maharashtra
Jalpaiguri - 3,Jalpaiguri - 3,766568,Bharatiya Janata Party,West Bengal
Jamnagar - 12,Jamnagar - 12,620049,Bharatiya Janata Party,Gujarat
Jamshedpur - 9,Jamshedpur - 9,726174,Bharatiya Janata Party,Jharkhand
Jamui - 40,Jamui - 40,509046,Lok Janshakti Party(Ram Vilas),Bihar
Jangipur - 9,Jangipur - 9,544427,All India Trinamool Congress,West Bengal
Jaunpur - 73,Jaunpur - 73,509130,Samajwadi Party,Uttar Pradesh
Jhanjharpur - 7,Jhanjharpur - 7,533032,Janata Dal (United),Bihar
Jhansi - 46,Jhansi - 46,690316,Bharatiya Janata Party,Uttar Pradesh
Jhargram - 33,Jhargram - 33,743478,All India Trinamool Congress,West Bengal
Jorhat - 14,Jorhat - 14,751771,Indian National Congress,Assam
Joynagar - 19,Joynagar - 19,894312,All India Trinamool Congress,West Bengal
Junagadh - 13,Junagadh - 13,584049,Bharatiya Janata Party,Gujarat
KALLAKURICHI - 14,KALLAKURICHI - 14,561589,Dravida Munnetra Kazhagam,Tamil Nadu
KANCHEEPURAM - 6,KANCHEEPURAM - 6,586044,Dravida Munnetra Kazhagam,Tamil Nadu
KANGRA - 1,KANGRA - 1,632793,Bharatiya Janata Party,Himachal Pradesh
KANKER - 11,KANKER - 11,597624,Bharatiya Janata Party,Chhattisgarh
KANNIYAKUMARI - 39,KANNIYAKUMARI - 39,546248,Indian National Congress,Tamil Nadu
KARAULI-DHOLPUR - 10,KARAULI-DHOLPUR - 10,530011,Indian National Congress,Rajasthan
KARNAL - 5,KARNAL - 5,739285,Bharatiya Janata Party,Haryana
KARUR - 23,KARUR - 23,534906,Indian National Congress,Tamil Nadu
KHAJURAHO - 8,KHAJURAHO - 8,772774,Bharatiya Janata Party,Madhya Pradesh
KHANDWA - 28,KHANDWA - 28,862679,Bharatiya Janata Party,Madhya Pradesh
KHARGONE - 27,KHARGONE - 27,819863,Bharatiya Janata Party,Madhya Pradesh
KORBA - 4,KORBA - 4,570182,Indian National Congress,Chhattisgarh
KOTA - 24,KOTA - 24,750496,Bharatiya Janata Party,Rajasthan
KRISHNAGIRI - 9,KRISHNAGIRI - 9,492883,Indian National Congress,Tamil Nadu
KURUKSHETRA - 2,KURUKSHETRA - 2,542175,Bharatiya Janata Party,Haryana
Kachchh - 1,Kachchh - 1,659574,Bharatiya Janata Party,Gujarat
Kadapa - 21,Kadapa - 21,605143,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh
Kairana - 2,Kairana - 2,528013,Samajwadi Party,Uttar Pradesh
Kaiserganj - 57,Kaiserganj - 57,571263,Bharatiya Janata Party,Uttar Pradesh
Kakinada - 6,Kakinada - 6,729699,Janasena Party,Andhra Pradesh
Kalahandi - 11,Kalahandi - 11,544303,Bharatiya Janata Party,Odisha
Kalyan - 24,Kalyan - 24,589636,Shiv Sena,Maharashtra
Kandhamal - 13,Kandhamal - 13,416415,Bharatiya Janata Party,Odisha
Kannauj - 42,Kannauj - 42,642292,Samajwadi Party,Uttar Pradesh
Kannur - 2,Kannur - 2,518524,Indian National Congress,Kerala
Kanpur - 43,Kanpur - 43,443055,Bharatiya Janata Party,Uttar Pradesh
Kanthi - 31,Kanthi - 31,763195,Bharatiya Janata Party,West Bengal
Karakat - 35,Karakat - 35,380581,Communist Party of India (Marxist-Leninist) (Liberation),Bihar
Karimganj - 7,Karimganj - 7,545093,Bharatiya Janata Party,Assam
Karimnagar - 3,Karimnagar - 3,585116,Bharatiya Janata Party,Telangana
Kasaragod - 1,Kasaragod - 1,490659,Indian National Congress,Kerala
Katihar - 11,Katihar - 11,567092,Indian National Congress,Bihar
Kaushambi - 50,Kaushambi - 50,509787,Samajwadi Party,Uttar Pradesh
Kaziranga - 10,Kaziranga - 10,897043,Bharatiya Janata Party,Assam
Kendrapara - 15,Kendrapara - 15,615705,Bharatiya Janata Party,Odisha
Keonjhar - 4,Keonjhar - 4,573923,Bharatiya Janata Party,Odisha
Khadoor Sahib - 3,Khadoor Sahib - 3,404430,Independent,Punjab
Khagaria - 25,Khagaria - 25,538657,Lok Janshakti Party(Ram Vilas),Bihar
Khammam - 17,Khammam - 17,766929,Indian National Congress,Telangana
Kheda - 17,Kheda - 17,744435,Bharatiya Janata Party,Gujarat
Kheri - 28,Kheri - 28,557365,Samajwadi Party,Uttar Pradesh
Khunti - 11,Khunti - 11,511647,Indian National Congress,Jharkhand
Kishanganj - 10,Kishanganj - 10,402850,Indian National Congress,Bihar
Kodarma - 5,Kodarma - 5,791657,Bharatiya Janata Party,Jharkhand
Kokrajhar - 1,Kokrajhar - 1,488995,"United Peoples Party, Liberal",Assam
Kolar - 28,Kolar - 28,691481,Janata Dal (Secular),Karnataka
Kolhapur - 47,Kolhapur - 47,754522,Indian National Congress,Maharashtra
Kolkata Dakshin - 23,Kolkata Dakshin - 23,615274,All India Trinamool Congress,West Bengal
Kolkata Uttar - 24,Kolkata Uttar - 24,454696,All India Trinamool Congress,West Bengal
Kollam - 18,Kollam - 18,443628,Revolutionary Socialist Party,Kerala
Koppal - 8,Koppal - 8,663511,Indian National Congress,Karnataka
Koraput - 21,Koraput - 21,471393,Indian National Congress,Odisha
Kottayam - 14,Kottayam - 14,364631,Kerala Congress,Kerala
Kozhikode - 5,Kozhikode - 5,520421,Indian National Congress,Kerala
Krishnanagar - 12,Krishnanagar - 12,628789,All India Trinamool Congress,West Bengal
Kurnoolu - 18,Kurnoolu - 18,658914,Telugu Desam,Andhra Pradesh
Kushi Nagar - 65,Kushi Nagar - 65,516345,Bharatiya Janata Party,Uttar Pradesh
Ladakh - 1,Ladakh - 1,65259,Independent,Ladakh
Lakhimpur - 12,Lakhimpur - 12,663122,Bharatiya Janata Party,Assam
Lakshadweep - 1,Lakshadweep - 1,25726,Indian National Congress,Lakshadweep
Lalganj - 68,Lalganj - 68,439959,Samajwadi Party,Uttar Pradesh
Latur - 41,Latur - 41,609021,Indian National Congress,Maharashtra
Lohardaga - 12,Lohardaga - 12,483038,Indian National Congress,Jharkhand
Lucknow - 35,Lucknow - 35,612709,Bharatiya Janata Party,Uttar Pradesh
Ludhiana - 7,Ludhiana - 7,322224,Indian National Congress,Punjab
MADURAI - 32,MADURAI - 32,430323,Communist Party of India (Marxist),Tamil Nadu
MAHASAMUND - 9,MAHASAMUND - 9,703659,Bharatiya Janata Party,Chhattisgarh
MANDI - 2,MANDI - 2,537022,Bharatiya Janata Party,Himachal Pradesh
MANDLA - 14,MANDLA - 14,751375,Bharatiya Janata Party,Madhya Pradesh
MANDSOUR - 23,MANDSOUR - 23,945761,Bharatiya Janata Party,Madhya Pradesh
MAYILADUTHURAI - 28,MAYILADUTHURAI - 28,518459,Indian National Congress,Tamil Nadu
MIZORAM - 1,MIZORAM - 1,208552,Zoram Peoples Movement,Mizoram
MORENA - 1,MORENA - 1,515477,Bharatiya Janata Party,Madhya Pradesh
Machhlishahr - 74,Machhlishahr - 74,451292,Samajwadi Party,Uttar Pradesh
Machilipatnam - 11,Machilipatnam - 11,724439,Janasena Party,Andhra Pradesh
Madha - 43,Madha - 43,622213,Nationalist Congress Party  Sharadchandra Pawar,Maharashtra
Madhepura - 13,Madhepura - 13,640649,Janata Dal (United),Bihar
Madhubani - 6,Madhubani - 6,553428,Bharatiya Janata Party,Bihar
Mahabubabad - 16,Mahabubabad - 16,612774,Indian National Congress,Telangana
Maharajganj - 19,Maharajganj - 19,529533,Bharatiya Janata Party,Bihar
