Constituency,constituency,max_votes,winner_party,State
Patliputra - 31,Patliputra - 31,613283,Rashtriya Janata Dal,Bihar
Patna Sahib - 30,Patna Sahib - 30,588270,Bharatiya Janata Party,Bihar
Peddapalle - 2,Peddapalle - 2,475587,Indian National Congress,Telangana
Phulpur - 51,Phulpur - 51,452600,Bharatiya Janata Party,Uttar Pradesh
Pilibhit - 26,Pilibhit - 26,607158,Bharatiya Janata Party,Uttar Pradesh
Ponnani - 7,Ponnani - 7,562516,Indian Union Muslim League,Kerala
Porbandar - 11,Porbandar - 11,633118,Bharatiya Janata Party,Gujarat
Pratapgarh - 39,Pratapgarh - 39,441932,Samajwadi Party,Uttar Pradesh
Pune - 34,Pune - 34,584728,Bharatiya Janata Party,Maharashtra
Puri - 17,Puri - 17,629330,Bharatiya Janata Party,Odisha
Purnia - 12,Purnia - 12,567556,Independent,Bihar
Purulia - 35,Purulia - 35,578489,Bharatiya Janata Party,West Bengal
Purvi Champaran - 3,Purvi Champaran - 3,542193,Bharatiya Janata Party,Bihar
RAIGARH - 2,RAIGARH - 2,808275,Bharatiya Janata Party,Chhattisgarh
RAIPUR - 8,RAIPUR - 8,1050351,Bharatiya Janata Party,Chhattisgarh
RAJGARH - 20,RAJGARH - 20,758743,Bharatiya Janata Party,Madhya Pradesh
RAJNANDGAON - 6,RAJNANDGAON - 6,712057,Bharatiya Janata Party,Chhattisgarh
RAJSAMAND - 22,RAJSAMAND - 22,781203,Bharatiya Janata Party,Rajasthan
RAMANATHAPURAM - 35,RAMANATHAPURAM - 35,509664,Indian Union Muslim League,Tamil Nadu
RATLAM - 24,RATLAM - 24,795863,Bharatiya Janata Party,Madhya Pradesh
REWA - 10,REWA - 10,477459,Bharatiya Janata Party,Madhya Pradesh
ROHTAK - 7,ROHTAK - 7,783578,Indian National Congress,Haryana
Rae Bareli - 36,Rae Bareli - 36,687649,Indian National Congress,Uttar Pradesh
Raichur - 6,Raichur - 6,670966,Indian National Congress,Karnataka
Raigad - 32,Raigad - 32,508352,Nationalist Congress Party,Maharashtra
Raiganj - 5,Raiganj - 5,560897,Bharatiya Janata Party,West Bengal
Rajahmundry - 8,Rajahmundry - 8,726515,Bharatiya Janata Party,Andhra Pradesh
Rajampet - 24,Rajampet - 24,644844,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh
Rajkot - 10,Rajkot - 10,857984,Bharatiya Janata Party,Gujarat
Rajmahal - 1,Rajmahal - 1,613371,Jharkhand Mukti Morcha,Jharkhand
Rampur - 7,Rampur - 7,481503,Samajwadi Party,Uttar Pradesh
Ramtek - 9,Ramtek - 9,613025,Indian National Congress,Maharashtra
Ranaghat - 13,Ranaghat - 13,782396,Bharatiya Janata Party,West Bengal
Ranchi - 8,Ranchi - 8,664732,Bharatiya Janata Party,Jharkhand
Ratnagiri- Sindhudurg - 46,Ratnagiri- Sindhudurg - 46,448514,Bharatiya Janata Party,Maharashtra
Raver - 4,Raver - 4,630879,Bharatiya Janata Party,Maharashtra
Robertsganj - 80,Robertsganj - 80,465848,Samajwadi Party,Uttar Pradesh
SAGAR - 5,SAGAR - 5,787979,Bharatiya Janata Party,Madhya Pradesh
SALEM - 15,SALEM - 15,566085,Dravida Munnetra Kazhagam,Tamil Nadu
